"","TCGA-A2-A04P-01","TCGA-A2-A0CW-01","TCGA-A2-A0T5-01","TCGA-A7-A5ZW-01","TCGA-A8-A06T-01","TCGA-A8-A081-01","TCGA-A8-A08F-01","TCGA-AN-A046-01","TCGA-AN-A0AS-01","TCGA-AR-A1AM-01","TCGA-B6-A0IJ-01","TCGA-BH-A0HF-01","TCGA-C8-A12Q-01","TCGA-E2-A10C-01","TCGA-E2-A15P-01","TCGA-E2-A1LS-01","TCGA-E9-A249-01"
"GTEX-131XW-0726-SM-5EGK3",0.2253663003663,0.123076923076923,0.27239010989011,0.268635531135531,0.208928571428571,0.290384615384615,0.0382326007326007,0.0336080586080586,-0.00453296703296703,0.553891941391941,0.260668498168498,0.252380952380952,0.388095238095238,0.257234432234432,0.463965201465201,0.223168498168498,0.27724358974359
"GTEX-131YS-0626-SM-5EGKL",0.234935897435897,0.12985347985348,0.318910256410256,0.40782967032967,0.240247252747253,0.256959706959707,0.0690934065934066,0.0432692307692308,0.0241758241758242,0.672069597069597,0.159157509157509,0.361813186813187,0.437225274725275,0.371199633699634,0.536858974358974,0.18525641025641,0.284935897435897
"GTEX-132AR-0826-SM-5EGK6",-0.0666666666666667,0.163003663003663,-0.163736263736264,-0.0341117216117216,0.0837912087912088,0.0592032967032967,0.219368131868132,0.00302197802197802,0.187362637362637,-0.0307692307692308,0.0988095238095238,0.0182234432234432,0.234844322344322,0.0414835164835165,0.0975732600732601,-0.104120879120879,0.000732600732600732
"GTEX-133LE-1726-SM-5K7VQ",0.145924908424908,0.147619047619048,0.243360805860806,0.321840659340659,0.150641025641026,0.207783882783883,0.0445054945054945,0.0128205128205128,0.0881868131868132,0.550641025641026,0.18264652014652,0.305952380952381,0.440659340659341,0.250457875457875,0.498122710622711,0.181089743589744,0.231043956043956
"GTEX-1399U-1826-SM-5PNZ1",0.0412087912087912,0.172893772893773,0.289148351648352,0.32220695970696,0.229761904761905,0.241758241758242,0.0777930402930403,0.0413461538461538,0.0777930402930403,0.55018315018315,0.160164835164835,0.399771062271062,0.44514652014652,0.223855311355311,0.546886446886447,0.165842490842491,0.253708791208791
"GTEX-13CF3-2126-SM-5IFJP",-0.121291208791209,0.113873626373626,-0.0635531135531135,0.00242673992673993,0.0787087912087912,0.0485805860805861,0.134478021978022,0.0639194139194139,0.143452380952381,-0.0307692307692308,0.0174908424908425,0.121382783882784,0.200641025641026,-0.0269688644688645,0.145054945054945,-0.0146520146520147,0.0673992673992674
"GTEX-13D11-1026-SM-5IJFB",0.05503663003663,0.0712912087912088,0.215934065934066,0.413827838827839,0.0925824175824176,0.0890567765567766,0.0253663003663004,0.0330586080586081,0.130723443223443,0.593177655677656,0.130769230769231,0.399221611721612,0.392124542124542,0.261401098901099,0.487271062271062,0.061996336996337,0.158974358974359
"GTEX-13FTX-1126-SM-5N9EN",-0.117261904761905,0.0635989010989011,-0.0829212454212454,0.140705128205128,0.0581501831501831,0.026510989010989,0.0522893772893773,0.085989010989011,0.139239926739927,0.0238095238095238,-0.133424908424908,0.170421245421245,0.147893772893773,-0.0296245421245421,0.135531135531136,0.064010989010989,0.0294871794871795
"GTEX-13FTY-2226-SM-5J1ND",0.0936813186813187,0.360347985347985,0.334157509157509,0.334020146520146,0.442032967032967,0.442628205128205,0.246474358974359,0.185027472527473,0.121062271062271,0.711309523809524,0.0923076923076923,0.309020146520146,0.579166666666667,0.448489010989011,0.67779304029304,0.125595238095238,0.449679487179487
"GTEX-13N11-1726-SM-5J1OJ",0.0152472527472527,0.171749084249084,0.231547619047619,0.504212454212454,0.239880952380952,0.284798534798535,0.101327838827839,0.0701923076923077,0.128296703296703,0.652106227106227,-0.0318223443223443,0.393086080586081,0.535393772893773,0.379258241758242,0.620238095238095,0.080540293040293,0.328113553113553
