"","empirical"
"648","ENSG00000079263"
"649","ENSG00000079335"
"650","ENSG00000079385"
"651","ENSG00000079459"
"652","ENSG00000079482"
"653","ENSG00000079689"
"654","ENSG00000079739"
"655","ENSG00000079805"
"656","ENSG00000079950"
"657","ENSG00000080007"
"658","ENSG00000080031"
"659","ENSG00000080166"
"660","ENSG00000080189"
"661","ENSG00000080200"
"662","ENSG00000080224"
"663","ENSG00000080298"
"664","ENSG00000080345"
"665","ENSG00000080371"
"666","ENSG00000080493"
"667","ENSG00000080503"
"668","ENSG00000080603"
"669","ENSG00000080608"
"670","ENSG00000080644"
"671","ENSG00000080819"
"672","ENSG00000080822"
"673","ENSG00000080845"
"674","ENSG00000080854"
"675","ENSG00000081014"
"676","ENSG00000081019"
"677","ENSG00000081051"
"678","ENSG00000081052"
"679","ENSG00000081059"
"680","ENSG00000081087"
"681","ENSG00000081148"
"682","ENSG00000081154"
"683","ENSG00000081181"
"684","ENSG00000081189"
"685","ENSG00000081237"
"686","ENSG00000081277"
"687","ENSG00000081307"
"688","ENSG00000081320"
"689","ENSG00000081386"
"690","ENSG00000081479"
"691","ENSG00000081665"
"692","ENSG00000081721"
"693","ENSG00000081760"
"694","ENSG00000081803"
"695","ENSG00000081842"
"696","ENSG00000081853"
"697","ENSG00000081913"
"698","ENSG00000082068"
"699","ENSG00000082146"
"700","ENSG00000082175"
"701","ENSG00000082397"
"702","ENSG00000082438"
"703","ENSG00000082482"
"704","ENSG00000082512"
"705","ENSG00000082556"
"706","ENSG00000082641"
"707","ENSG00000082684"
"708","ENSG00000082781"
"709","ENSG00000082805"
"710","ENSG00000082996"
"711","ENSG00000083123"
"712","ENSG00000083168"
"713","ENSG00000083223"
"714","ENSG00000083290"
"715","ENSG00000083454"
"716","ENSG00000083457"
"717","ENSG00000083520"
"718","ENSG00000083535"
"719","ENSG00000083544"
"720","ENSG00000083642"
"721","ENSG00000083720"
"722","ENSG00000083750"
"723","ENSG00000083799"
"724","ENSG00000083807"
"725","ENSG00000083812"
"726","ENSG00000083814"
"727","ENSG00000083828"
"728","ENSG00000083838"
"729","ENSG00000083845"
"730","ENSG00000083857"
"731","ENSG00000083896"
"732","ENSG00000084070"
"733","ENSG00000084072"
"734","ENSG00000084110"
"735","ENSG00000084112"
"736","ENSG00000084207"
"737","ENSG00000084234"
"738","ENSG00000084453"
"739","ENSG00000084676"
"740","ENSG00000084693"
"741","ENSG00000084754"
"742","ENSG00000084774"
"743","ENSG00000085063"
"744","ENSG00000085117"
"745","ENSG00000085185"
"746","ENSG00000085224"
"747","ENSG00000085231"
"748","ENSG00000085265"
"749","ENSG00000085274"
"750","ENSG00000085377"
"751","ENSG00000085433"
"752","ENSG00000085449"
"753","ENSG00000085511"
"754","ENSG00000085514"
"755","ENSG00000085733"
"756","ENSG00000085741"
"757","ENSG00000085788"
"758","ENSG00000085832"
"759","ENSG00000085871"
"760","ENSG00000085872"
"761","ENSG00000085978"
"762","ENSG00000085982"
"763","ENSG00000085998"
"764","ENSG00000086015"
"765","ENSG00000086102"
"766","ENSG00000086189"
"767","ENSG00000086205"
"768","ENSG00000086289"
"769","ENSG00000086544"
"770","ENSG00000086570"
"771","ENSG00000086589"
"772","ENSG00000086619"
"773","ENSG00000086696"
"774","ENSG00000086712"
"775","ENSG00000086848"
"776","ENSG00000086967"
"777","ENSG00000087008"
"778","ENSG00000087053"
"779","ENSG00000087076"
"780","ENSG00000087077"
"781","ENSG00000087085"
"782","ENSG00000087086"
"783","ENSG00000087087"
"784","ENSG00000087116"
"785","ENSG00000087191"
"786","ENSG00000087237"
"787","ENSG00000087245"
"788","ENSG00000087258"
"789","ENSG00000087269"
"790","ENSG00000087274"
"791","ENSG00000087303"
"792","ENSG00000087448"
"793","ENSG00000087494"
"794","ENSG00000087495"
"795","ENSG00000087510"
"796","ENSG00000087589"
"797","ENSG00000087842"
"798","ENSG00000087884"
"799","ENSG00000088038"
"800","ENSG00000088179"
"801","ENSG00000088247"
"802","ENSG00000088280"
"803","ENSG00000088367"
"804","ENSG00000088386"
"805","ENSG00000088451"
"806","ENSG00000088538"
"807","ENSG00000088543"
"808","ENSG00000088682"
"809","ENSG00000088726"
"810","ENSG00000088756"
"811","ENSG00000088766"
"812","ENSG00000088808"
"813","ENSG00000088826"
"814","ENSG00000088827"
"815","ENSG00000088833"
"816","ENSG00000088836"
"817","ENSG00000088881"
"818","ENSG00000088882"
"819","ENSG00000088888"
"820","ENSG00000088899"
"821","ENSG00000089006"
"822","ENSG00000089009"
"823","ENSG00000089022"
"824","ENSG00000089041"
"825","ENSG00000089048"
"826","ENSG00000089091"
"827","ENSG00000089094"
"828","ENSG00000089154"
"829","ENSG00000089157"
"830","ENSG00000089163"
"831","ENSG00000089280"
"832","ENSG00000089289"
"833","ENSG00000089327"
"834","ENSG00000089335"
"835","ENSG00000089351"
"836","ENSG00000089472"
"837","ENSG00000089486"
"838","ENSG00000089505"
"839","ENSG00000089682"
"840","ENSG00000089818"
"841","ENSG00000089902"
"842","ENSG00000090013"
"843","ENSG00000090104"
"844","ENSG00000090339"
"845","ENSG00000090372"
"846","ENSG00000090432"
"847","ENSG00000090447"
"848","ENSG00000090470"
"849","ENSG00000090530"
"850","ENSG00000090534"
"851","ENSG00000090539"
"852","ENSG00000090565"
"853","ENSG00000090581"
"854","ENSG00000090621"
"855","ENSG00000090674"
"856","ENSG00000090686"
"857","ENSG00000090861"
"858","ENSG00000090863"
"859","ENSG00000090989"
"860","ENSG00000091039"
"861","ENSG00000091073"
"862","ENSG00000091129"
"863","ENSG00000091137"
"864","ENSG00000091138"
"865","ENSG00000091157"
"866","ENSG00000091262"
"867","ENSG00000091409"
"868","ENSG00000091428"
"869","ENSG00000091436"
"870","ENSG00000091490"
"871","ENSG00000091513"
"872","ENSG00000091622"
"873","ENSG00000091640"
"874","ENSG00000091656"
"875","ENSG00000091879"
"876","ENSG00000091947"
"877","ENSG00000091986"
"878","ENSG00000092020"
"879","ENSG00000092036"
"880","ENSG00000092068"
"881","ENSG00000092098"
"882","ENSG00000092140"
"883","ENSG00000092148"
"884","ENSG00000092200"
"885","ENSG00000092295"
"886","ENSG00000092330"
"887","ENSG00000092439"
"888","ENSG00000092531"
"889","ENSG00000092621"
"890","ENSG00000092758"
"891","ENSG00000092841"
"892","ENSG00000092850"
"893","ENSG00000092929"
"894","ENSG00000092969"
"895","ENSG00000093010"
"896","ENSG00000093134"
"897","ENSG00000093144"
"898","ENSG00000093167"
"899","ENSG00000093183"
"900","ENSG00000094755"
"901","ENSG00000094796"
"902","ENSG00000095015"
"903","ENSG00000095059"
"904","ENSG00000095203"
"905","ENSG00000095209"
"906","ENSG00000095485"
"907","ENSG00000095539"
"908","ENSG00000095574"
"909","ENSG00000095587"
"910","ENSG00000095596"
"911","ENSG00000095627"
"912","ENSG00000095713"
"913","ENSG00000095752"
"914","ENSG00000095777"
"915","ENSG00000095787"
"916","ENSG00000095794"
"917","ENSG00000095906"
"918","ENSG00000095917"
"919","ENSG00000095951"
"920","ENSG00000096070"
"921","ENSG00000096088"
"922","ENSG00000096433"
"923","ENSG00000096717"
"924","ENSG00000096872"
"925","ENSG00000096968"
"926","ENSG00000097033"
"927","ENSG00000099194"
"928","ENSG00000099203"
"929","ENSG00000099250"
"930","ENSG00000099256"
"931","ENSG00000099290"
"932","ENSG00000099308"
"933","ENSG00000099330"
"934","ENSG00000099331"
"935","ENSG00000099338"
"936","ENSG00000099364"
"937","ENSG00000099381"
"938","ENSG00000099385"
"939","ENSG00000099624"
"940","ENSG00000099625"
"941","ENSG00000099769"
"942","ENSG00000099783"
"943","ENSG00000099785"
"944","ENSG00000099795"
"945","ENSG00000099797"
"946","ENSG00000099800"
"947","ENSG00000099804"
"948","ENSG00000099810"
"949","ENSG00000099814"
"950","ENSG00000099817"
"951","ENSG00000099849"
"952","ENSG00000099875"
"953","ENSG00000099910"
"954","ENSG00000099954"
"955","ENSG00000099958"
"956","ENSG00000099960"
"957","ENSG00000099977"
"958","ENSG00000099984"
"959","ENSG00000099991"
"960","ENSG00000099994"
"961","ENSG00000099995"
"962","ENSG00000099999"
"963","ENSG00000100003"
"964","ENSG00000100014"
"965","ENSG00000100023"
"966","ENSG00000100027"
"967","ENSG00000100031"
"968","ENSG00000100033"
"969","ENSG00000100036"
"970","ENSG00000100055"
"971","ENSG00000100056"
"972","ENSG00000100075"
"973","ENSG00000100078"
"974","ENSG00000100084"
"975","ENSG00000100092"
"976","ENSG00000100097"
"977","ENSG00000100122"
"978","ENSG00000100124"
"979","ENSG00000100129"
"980","ENSG00000100139"
"981","ENSG00000100142"
"982","ENSG00000100146"
"983","ENSG00000100150"
"984","ENSG00000100170"
"985","ENSG00000100206"
"986","ENSG00000100209"
"987","ENSG00000100211"
"988","ENSG00000100221"
"989","ENSG00000100225"
"990","ENSG00000100226"
"991","ENSG00000100227"
"992","ENSG00000100228"
"993","ENSG00000100234"
"994","ENSG00000100258"
"995","ENSG00000100263"
"996","ENSG00000100266"
"997","ENSG00000100284"
"998","ENSG00000100296"
"999","ENSG00000100297"
"1000","ENSG00000100298"
"1001","ENSG00000100299"
"1002","ENSG00000100300"
"1003","ENSG00000100302"
"1004","ENSG00000100311"
"1005","ENSG00000100314"
"1006","ENSG00000100316"
"1007","ENSG00000100321"
"1008","ENSG00000100324"
"1009","ENSG00000100325"
"1010","ENSG00000100335"
"1011","ENSG00000100342"
"1012","ENSG00000100344"
"1013","ENSG00000100345"
"1014","ENSG00000100346"
"1015","ENSG00000100347"
"1016","ENSG00000100348"
"1017","ENSG00000100351"
"1018","ENSG00000100353"
"1019","ENSG00000100354"
"1020","ENSG00000100365"
"1021","ENSG00000100368"
"1022","ENSG00000100373"
"1023","ENSG00000100379"
"1024","ENSG00000100380"
"1025","ENSG00000100393"
"1026","ENSG00000100395"
"1027","ENSG00000100399"
"1028","ENSG00000100403"
"1029","ENSG00000100413"
"1030","ENSG00000100418"
"1031","ENSG00000100422"
"1032","ENSG00000100439"
"1033","ENSG00000100448"
"1034","ENSG00000100461"
"1035","ENSG00000100473"
"1036","ENSG00000100478"
"1037","ENSG00000100485"
"1038","ENSG00000100490"
"1039","ENSG00000100504"
"1040","ENSG00000100505"
"1041","ENSG00000100519"
"1042","ENSG00000100532"
"1043","ENSG00000100564"
"1044","ENSG00000100568"
"1045","ENSG00000100575"
"1046","ENSG00000100577"
"1047","ENSG00000100592"
"1048","ENSG00000100599"
"1049","ENSG00000100601"
"1050","ENSG00000100603"
"1051","ENSG00000100604"
"1052","ENSG00000100605"
"1053","ENSG00000100614"
"1054","ENSG00000100628"
"1055","ENSG00000100629"
"1056","ENSG00000100644"
"1057","ENSG00000100647"
"1058","ENSG00000100664"
"1059","ENSG00000100665"
"1060","ENSG00000100697"
"1061","ENSG00000100722"
"1062","ENSG00000100726"
"1063","ENSG00000100739"
"1064","ENSG00000100796"
"1065","ENSG00000100802"
"1066","ENSG00000100814"
"1067","ENSG00000100842"
"1068","ENSG00000100852"
"1069","ENSG00000100908"
