"","pert_iname","mean","n","median","sd","sRGES"
"1825","BRD-K16383683",-0.555894029948165,1,-0.555894029948165,NA,-0.555894029948165
"1826","BRD-K37081092",-0.555811760244571,1,-0.555811760244571,NA,-0.555811760244571
"1827","BRD-K04206413",-0.555647220837383,1,-0.555647220837383,NA,-0.555647220837383
"1828","BRD-K90915722",-0.555626431609061,2,-0.555626431609061,0.0801003927911862,-0.555626431609061
"1829","BRD-K86516784",-0.555588013158541,1,-0.555588013158541,NA,-0.555588013158541
"1830","CHEMBL-399379",-0.555580223932539,50,-0.543834792481798,0.169453042816515,-0.555580223932539
"1831","BRD-K66757073",-0.555459175800596,1,-0.555459175800596,NA,-0.555459175800596
"1832","BRD-K66866904",-0.555329894837806,1,-0.555329894837806,NA,-0.555329894837806
"1833","BRD-K34230554",-0.555168881275058,5,-0.625529457633095,0.27398095474078,-0.555168881275058
"1834","BRD-K74864389",-0.554615689536335,2,-0.554615689536335,0.2994399158,-0.554615689536335
"1835","BRD-K39887954",-0.554419051690872,1,-0.554419051690872,NA,-0.554419051690872
"1836","BRD-K34174785",-0.554145217779658,1,-0.554145217779658,NA,-0.554145217779658
"1837","BRD-K34829873",-0.554019455987701,2,-0.554019455987701,0.00363168633357447,-0.554019455987701
"1838","BRD-K20624574",-0.554018606505257,1,-0.554018606505257,NA,-0.554018606505257
"1839","BRD-K79219981",-0.553790276099118,1,-0.553790276099118,NA,-0.553790276099118
"1840","BRD-K36938987",-0.553613983877131,1,-0.553613983877131,NA,-0.553613983877131
"1841","BRD-K98374785",-0.553496455729139,1,-0.553496455729139,NA,-0.553496455729139
"1842","BRD-K59757264",-0.553478382902095,1,-0.553478382902095,NA,-0.553478382902095
"1843","eucatropine",-0.553388496069308,2,-0.553388496069308,0.0461168247456224,-0.553388496069308
"1844","BRD-K28583191",-0.553369532002915,1,-0.553369532002915,NA,-0.553369532002915
"1845","actinomycin-d",-0.553221552911588,3,-0.517758503161507,0.0845527053316037,-0.553221552911588
"1846","BRD-K66123981",-0.553137994877765,1,-0.553137994877765,NA,-0.553137994877765
"1847","BRD-K33881003",-0.553108612840767,1,-0.553108612840767,NA,-0.553108612840767
"1848","BRD-K64285892",-0.55307335439637,1,-0.55307335439637,NA,-0.55307335439637
"1849","BRD-K93880770",-0.55289390216826,2,-0.55289390216826,0.356441601296539,-0.55289390216826
"1850","BRD-K60298771",-0.5528518248823,12,-0.602035580849606,0.308657785317329,-0.5528518248823
"1851","SA-1456443",-0.552779534026391,1,-0.552779534026391,NA,-0.552779534026391
"1852","BRD-K75265238",-0.552744275581994,1,-0.552744275581994,NA,-0.552744275581994
"1853","BRD-K68350686",-0.552738399174594,1,-0.552738399174594,NA,-0.552738399174594
"1854","BRD-K96551169",-0.552730416096447,3,-0.700453651977641,0.323917960604276,-0.552730416096447
"1855","BRD-K13960193",-0.552692141792459,4,-0.539930188280093,0.0889802194121959,-0.552692141792459
"1856","BRD-K14952621",-0.552191893286434,1,-0.552191893286434,NA,-0.552191893286434
"1857","SA-1457415",-0.552166673858849,6,-0.56782431558758,0.199047642562365,-0.552166673858849
"1858","BRD-K56327795",-0.552003848249648,1,-0.552003848249648,NA,-0.552003848249648
"1859","BRD-K00270349",-0.551997528237403,1,-0.551997528237403,NA,-0.551997528237403
"1860","BRD-K24058148",-0.55198034262005,1,-0.55198034262005,NA,-0.55198034262005
"1861","BRD-K23001296",-0.551956836990451,1,-0.551956836990451,NA,-0.551956836990451
"1862","BRD-K70617194",-0.55193604776213,2,-0.55193604776213,0.0538226074667863,-0.55193604776213
"1863","BRD-K39685923",-0.551745286324067,1,-0.551745286324067,NA,-0.551745286324067
"1864","BRD-K86372560",-0.5510559870729,4,-0.56586041689784,0.0468445644324641,-0.5510559870729
"1865","BRD-K01425313",-0.550422245176718,1,-0.550422245176718,NA,-0.550422245176718
"1866","BRD-K02189204",-0.550234606017531,1,-0.550234606017531,NA,-0.550234606017531
"1867","BRD-K06900263",-0.549864835956204,1,-0.549864835956204,NA,-0.549864835956204
"1868","BRD-K13007539",-0.549829577511806,1,-0.549829577511806,NA,-0.549829577511806
"1869","BRD-K65165610",-0.549653285289819,1,-0.549653285289819,NA,-0.549653285289819
"1870","BRD-K72267874",-0.54959060361089,3,-0.423357537458213,0.220231796956654,-0.54959060361089
